
Converting numbers in file: P2/TC2.txt
Original: 7116776	Binary: 11011001001011111101000	Hexadecimal: 6C97E8
Original: 7469325	Binary: 11100011111100100001101	Hexadecimal: 71F90D
Original: 1973172	Binary: 111100001101110110100	Hexadecimal: 1E1BB4
Original: 53145	Binary: 1100111110011001	Hexadecimal: CF99
Original: 3897508	Binary: 1110110111100010100100	Hexadecimal: 3B78A4
Original: 7773386	Binary: 11101101001110011001010	Hexadecimal: 769CCA
Original: 6089829	Binary: 10111001110110001100101	Hexadecimal: 5CEC65
Original: 4223424	Binary: 10000000111000111000000	Hexadecimal: 4071C0
Original: 9761752	Binary: 100101001111001111011000	Hexadecimal: 94F3D8
Original: 7930799	Binary: 11110010000001110101111	Hexadecimal: 7903AF
Original: 3597495	Binary: 1101101110010010110111	Hexadecimal: 36E4B7
Original: 9302948	Binary: 100011011111001110100100	Hexadecimal: 8DF3A4
Original: 2288712	Binary: 1000101110110001001000	Hexadecimal: 22EC48
Original: 197187	Binary: 110000001001000011	Hexadecimal: 30243
Original: 5266939	Binary: 10100000101110111111011	Hexadecimal: 505DFB
Original: 221545	Binary: 110110000101101001	Hexadecimal: 36169
Original: 7957027	Binary: 11110010110101000100011	Hexadecimal: 796A23
Original: 3195361	Binary: 1100001100000111100001	Hexadecimal: 30C1E1
Original: 7106269	Binary: 11011000110111011011101	Hexadecimal: 6C6EDD
Original: 9633312	Binary: 100100101111111000100000	Hexadecimal: 92FE20
Original: 9713704	Binary: 100101000011100000101000	Hexadecimal: 943828
Original: 91925	Binary: 10110011100010101	Hexadecimal: 16715
Original: 4418686	Binary: 10000110110110001111110	Hexadecimal: 436C7E
Original: 9682250	Binary: 100100111011110101001010	Hexadecimal: 93BD4A
Original: 2583824	Binary: 1001110110110100010000	Hexadecimal: 276D10
Original: 4979126	Binary: 10010111111100110110110	Hexadecimal: 4BF9B6
Original: 6280954	Binary: 10111111101011011111010	Hexadecimal: 5FD6FA
Original: 1228610	Binary: 100101011111101000010	Hexadecimal: 12BF42
Original: 705518	Binary: 10101100001111101110	Hexadecimal: AC3EE
Original: 1017653	Binary: 11111000011100110101	Hexadecimal: F8735
Original: 500098	Binary: 1111010000110000010	Hexadecimal: 7A182
Original: 7210727	Binary: 11011100000011011100111	Hexadecimal: 6E06E7
Original: 4250898	Binary: 10000001101110100010010	Hexadecimal: 40DD12
Original: 4055028	Binary: 1111011101111111110100	Hexadecimal: 3DDFF4
Original: 2754240	Binary: 1010100000011011000000	Hexadecimal: 2A06C0
Original: 452999	Binary: 1101110100110000111	Hexadecimal: 6E987
Original: 6831458	Binary: 11010000011110101100010	Hexadecimal: 683D62
Original: 207636	Binary: 110010101100010100	Hexadecimal: 32B14
Original: 7280635	Binary: 11011110001011111111011	Hexadecimal: 6F17FB
Original: 3308937	Binary: 1100100111110110001001	Hexadecimal: 327D89
Original: 4303570	Binary: 10000011010101011010010	Hexadecimal: 41AAD2
Original: 8375055	Binary: 11111111100101100001111	Hexadecimal: 7FCB0F
Original: 1457960	Binary: 101100011111100101000	Hexadecimal: 163F28
Original: 5197625	Binary: 10011110100111100111001	Hexadecimal: 4F4F39
Original: 3144371	Binary: 1011111111101010110011	Hexadecimal: 2FFAB3
Original: 6674138	Binary: 11001011101011011011010	Hexadecimal: 65D6DA
Original: 2692106	Binary: 1010010001010000001010	Hexadecimal: 29140A
Original: 2276769	Binary: 1000101011110110100001	Hexadecimal: 22BDA1
Original: 1940971	Binary: 111011001110111101011	Hexadecimal: 1D9DEB
Original: 3288264	Binary: 1100100010110011001000	Hexadecimal: 322CC8
Original: 4819803	Binary: 10010011000101101011011	Hexadecimal: 498B5B
Original: 9431005	Binary: 100011111110011111011101	Hexadecimal: 8FE7DD
Original: 3992019	Binary: 1111001110100111010011	Hexadecimal: 3CE9D3
Original: 8184782	Binary: 11111001110001111001110	Hexadecimal: 7CE3CE
Original: 2847975	Binary: 1010110111010011100111	Hexadecimal: 2B74E7
Original: 7891025	Binary: 11110000110100001010001	Hexadecimal: 786851
Original: 900082	Binary: 11011011101111110010	Hexadecimal: DBBF2
Original: 1831532	Binary: 110111111001001101100	Hexadecimal: 1BF26C
Original: 8428253	Binary: 100000001001101011011101	Hexadecimal: 809ADD
Original: 2905752	Binary: 1011000101011010011000	Hexadecimal: 2C5698
Original: 9763121	Binary: 100101001111100100110001	Hexadecimal: 94F931
Original: 257890	Binary: 111110111101100010	Hexadecimal: 3EF62
Original: 4699761	Binary: 10001111011011001110001	Hexadecimal: 47B671
Original: 359541	Binary: 1010111110001110101	Hexadecimal: 57C75
Original: 3446150	Binary: 1101001001010110000110	Hexadecimal: 349586
Original: 4246818	Binary: 10000001100110100100010	Hexadecimal: 40CD22
Original: 1848840	Binary: 111000011011000001000	Hexadecimal: 1C3608
Original: 938480	Binary: 11100101000111110000	Hexadecimal: E51F0
Original: 227465	Binary: 110111100010001001	Hexadecimal: 37889
Original: 3923488	Binary: 1110111101111000100000	Hexadecimal: 3BDE20
Original: 8915697	Binary: 100010000000101011110001	Hexadecimal: 880AF1
Original: 4309094	Binary: 10000011100000001100110	Hexadecimal: 41C066
Original: 3891251	Binary: 1110110110000000110011	Hexadecimal: 3B6033
Original: 8627956	Binary: 100000111010011011110100	Hexadecimal: 83A6F4
Original: 5884613	Binary: 10110011100101011000101	Hexadecimal: 59CAC5
Original: 1659318	Binary: 110010101000110110110	Hexadecimal: 1951B6
Original: 1834855	Binary: 110111111111101100111	Hexadecimal: 1BFF67
Original: 3386751	Binary: 1100111010110101111111	Hexadecimal: 33AD7F
Original: 3000166	Binary: 1011011100011101100110	Hexadecimal: 2DC766
Original: 9135626	Binary: 100010110110011000001010	Hexadecimal: 8B660A
Original: 4869260	Binary: 10010100100110010001100	Hexadecimal: 4A4C8C
Original: 76550	Binary: 10010101100000110	Hexadecimal: 12B06
Original: 432271	Binary: 1101001100010001111	Hexadecimal: 6988F
Original: 251028	Binary: 111101010010010100	Hexadecimal: 3D494
Original: 7016218	Binary: 11010110000111100011010	Hexadecimal: 6B0F1A
Original: 6896099	Binary: 11010010011100111100011	Hexadecimal: 6939E3
Original: 8386350	Binary: 11111111111011100101110	Hexadecimal: 7FF72E
Original: 8637147	Binary: 100000111100101011011011	Hexadecimal: 83CADB
Original: 936705	Binary: 11100100101100000001	Hexadecimal: E4B01
Original: 6602175	Binary: 11001001011110110111111	Hexadecimal: 64BDBF
Original: 1429181	Binary: 101011100111010111101	Hexadecimal: 15CEBD
Original: 8395138	Binary: 100000000001100110000010	Hexadecimal: 801982
Original: 6132809	Binary: 10111011001010001001001	Hexadecimal: 5D9449
Original: 5936917	Binary: 10110101001011100010101	Hexadecimal: 5A9715
Original: 2878578	Binary: 1010111110110001110010	Hexadecimal: 2BEC72
Original: 158885	Binary: 100110110010100101	Hexadecimal: 26CA5
Original: 2441957	Binary: 1001010100001011100101	Hexadecimal: 2542E5
Original: 5914794	Binary: 10110100100000010101010	Hexadecimal: 5A40AA
Original: 3999272	Binary: 1111010000011000101000	Hexadecimal: 3D0628
Original: 3142897	Binary: 1011111111010011110001	Hexadecimal: 2FF4F1
Original: 8151159	Binary: 11111000110000001110111	Hexadecimal: 7C6077
Original: 5147564	Binary: 10011101000101110101100	Hexadecimal: 4E8BAC
Original: 4595374	Binary: 10001100001111010101110	Hexadecimal: 461EAE
Original: 4234951	Binary: 10000001001111011000111	Hexadecimal: 409EC7
Original: 7880605	Binary: 11110000011111110011101	Hexadecimal: 783F9D
Original: 7009921	Binary: 11010101111011010000001	Hexadecimal: 6AF681
Original: 695580	Binary: 10101001110100011100	Hexadecimal: A9D1C
Original: 7370443	Binary: 11100000111011011001011	Hexadecimal: 7076CB
Original: 7921729	Binary: 11110001110000001000001	Hexadecimal: 78E041
Original: 8419625	Binary: 100000000111100100101001	Hexadecimal: 807929
Original: 7024080	Binary: 11010110010110111010000	Hexadecimal: 6B2DD0
Original: 3905988	Binary: 1110111001100111000100	Hexadecimal: 3B99C4
Original: 1767599	Binary: 110101111100010101111	Hexadecimal: 1AF8AF
Original: 935136	Binary: 11100100010011100000	Hexadecimal: E44E0
Original: 635788	Binary: 10011011001110001100	Hexadecimal: 9B38C
Original: 8807719	Binary: 100001100110010100100111	Hexadecimal: 866527
Original: 317375	Binary: 1001101011110111111	Hexadecimal: 4D7BF
Original: 9975410	Binary: 100110000011011001110010	Hexadecimal: 983672
Original: 2727968	Binary: 1010011010000000100000	Hexadecimal: 29A020
Original: 7444399	Binary: 11100011001011110101111	Hexadecimal: 7197AF
Original: 4065675	Binary: 1111100000100110001011	Hexadecimal: 3E098B
Original: 9925720	Binary: 100101110111010001011000	Hexadecimal: 977458
Original: 2293633	Binary: 1000101111111110000001	Hexadecimal: 22FF81
Original: 7734826	Binary: 11101100000011000101010	Hexadecimal: 76062A
Original: 1065463	Binary: 100000100000111110111	Hexadecimal: 1041F7
Original: 1105617	Binary: 100001101111011010001	Hexadecimal: 10DED1
Original: 5325800	Binary: 10100010100001111101000	Hexadecimal: 5143E8
Original: 3822527	Binary: 1110100101001110111111	Hexadecimal: 3A53BF
Original: 5503858	Binary: 10100111111101101110010	Hexadecimal: 53FB72
Original: 9214055	Binary: 100011001001100001100111	Hexadecimal: 8C9867
Original: 6521769	Binary: 11000111000001110101001	Hexadecimal: 6383A9
Original: 7923796	Binary: 11110001110100001010100	Hexadecimal: 78E854
Original: 5250236	Binary: 10100000001110010111100	Hexadecimal: 501CBC
Original: 1083154	Binary: 100001000011100010010	Hexadecimal: 108712
Original: 472141	Binary: 1110011010001001101	Hexadecimal: 7344D
Original: 9597454	Binary: 100100100111001000001110	Hexadecimal: 92720E
Original: 1581679	Binary: 110000010001001101111	Hexadecimal: 18226F
Original: 656751	Binary: 10100000010101101111	Hexadecimal: A056F
Original: 345464	Binary: 1010100010101111000	Hexadecimal: 54578
Original: 4281218	Binary: 10000010101001110000010	Hexadecimal: 415382
Original: 6558883	Binary: 11001000001010010100011	Hexadecimal: 6414A3
Original: 3852986	Binary: 1110101100101010111010	Hexadecimal: 3ACABA
Original: 6263187	Binary: 10111111001000110010011	Hexadecimal: 5F9193
Original: 5828308	Binary: 10110001110111011010100	Hexadecimal: 58EED4
Original: 8058535	Binary: 11110101111011010100111	Hexadecimal: 7AF6A7
Original: 9035191	Binary: 100010011101110110110111	Hexadecimal: 89DDB7
Original: 7922103	Binary: 11110001110000110110111	Hexadecimal: 78E1B7
Original: 9366003	Binary: 100011101110100111110011	Hexadecimal: 8EE9F3
Original: 4555717	Binary: 10001011000001111000101	Hexadecimal: 4583C5
Original: 3526753	Binary: 1101011101000001100001	Hexadecimal: 35D061
Original: 3176815	Binary: 1100000111100101101111	Hexadecimal: 30796F
Original: 858440	Binary: 11010001100101001000	Hexadecimal: D1948
Original: 2250854	Binary: 1000100101100001100110	Hexadecimal: 225866

Converting numbers in file: P2/TC4.txt
Original: -39	Binary: -100111	Hexadecimal: -27
Original: -36	Binary: -100100	Hexadecimal: -24
Original: 8	Binary: 1000	Hexadecimal: 08
Original: 34	Binary: 100010	Hexadecimal: 22
Original: 17	Binary: 10001	Hexadecimal: 11
Original: 49	Binary: 110001	Hexadecimal: 31
Original: 5	Binary: 101	Hexadecimal: 05
Original: 0	Binary: 0	Hexadecimal: 00
Original: 33	Binary: 100001	Hexadecimal: 21
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: -6	Binary: -110	Hexadecimal: -6
Original: 27	Binary: 11011	Hexadecimal: 1B
Original: -4	Binary: -100	Hexadecimal: -4
Original: -38	Binary: -100110	Hexadecimal: -26
Original: 26	Binary: 11010	Hexadecimal: 1A
Original: 49	Binary: 110001	Hexadecimal: 31
Original: 29	Binary: 11101	Hexadecimal: 1D
Original: 42	Binary: 101010	Hexadecimal: 2A
Original: -16	Binary: -10000	Hexadecimal: -10
Original: 34	Binary: 100010	Hexadecimal: 22
Original: 20	Binary: 10100	Hexadecimal: 14
Original: 0	Binary: 0	Hexadecimal: 00
Original: 25	Binary: 11001	Hexadecimal: 19
Original: 45	Binary: 101101	Hexadecimal: 2D
Original: 3	Binary: 11	Hexadecimal: 03
Original: -46	Binary: -101110	Hexadecimal: -2E
Original: -46	Binary: -101110	Hexadecimal: -2E
Original: 29	Binary: 11101	Hexadecimal: 1D
Original: 33	Binary: 100001	Hexadecimal: 21
Original: 29	Binary: 11101	Hexadecimal: 1D
Original: 26	Binary: 11010	Hexadecimal: 1A
Original: -5	Binary: -101	Hexadecimal: -5
Original: -36	Binary: -100100	Hexadecimal: -24
Original: 12	Binary: 1100	Hexadecimal: 0C
Original: 45	Binary: 101101	Hexadecimal: 2D
Original: -50	Binary: -110010	Hexadecimal: -32
Original: 0	Binary: 0	Hexadecimal: 00
Original: -6	Binary: -110	Hexadecimal: -6
